Function,Used Registers,Shared Memory,Constant Memory
_Z20magma_sgemmEx_kernelIfffLb1ELb1ELi6ELi3ELi6ELi3ELi4EEviii6TensoriS0_iS0_iS0_iiiPKT_S3_S1_S1_i18cublasLtEpilogue_tiPKv,71,4352,520
_Z20magma_sgemmEx_kernelIfffLb1ELb0ELi6ELi4ELi6ELi3ELi4EEviii6TensoriS0_iS0_iS0_iiiPKT_S3_S1_S1_i18cublasLtEpilogue_tiPKv,95,8704,520
_Z20magma_sgemmEx_kernelIfffLb0ELb1ELi6ELi4ELi6ELi3ELi4EEviii6TensoriS0_iS0_iS0_iiiPKT_S3_S1_S1_i18cublasLtEpilogue_tiPKv,66,8704,520
_Z20magma_sgemmEx_kernelIfffLb0ELb0ELi6ELi3ELi5ELi3ELi3EEviii6TensoriS0_iS0_iS0_iiiPKT_S3_S1_S1_i18cublasLtEpilogue_tiPKv,72,3328,520
_Z36transpose_readWrite_alignment_kernelIddLi1ELb1ELi6ELi4ELi4EEv21cublasTransposeParamsIT0_EPKT_PS3_PKS1_,40,8320,432
_Z36transpose_readWrite_alignment_kernelIddLi1ELb0ELi6ELi4ELi4EEv21cublasTransposeParamsIT0_EPKT_PS3_PKS1_,40,8320,432
_Z11scal_kernelIddLi1ELb0ELi6ELi4ELi4ELi4EEv21cublasTransposeParamsIT0_EPKT_PS3_PKS1_,28,8192,432
_Z43transpose_readWrite_alignment_64addr_kernelIddLi1ELb1ELi6ELi4ELi4EEv21cublasTransposeParamsIT0_EPKT_PS3_PKS1_,40,8320,432
_Z43transpose_readWrite_alignment_64addr_kernelIddLi1ELb0ELi6ELi4ELi4EEv21cublasTransposeParamsIT0_EPKT_PS3_PKS1_,40,8320,432
_Z18scal_64addr_kernelIddLi1ELb0ELi6ELi4ELi4ELi4EEv21cublasTransposeParamsIT0_EPKT_PS3_PKS1_,30,8192,432
_Z36transpose_readWrite_alignment_kernelI6float2S0_Li1ELb1ELi6ELi4ELi4EEv21cublasTransposeParamsIT0_EPKT_PS4_PKS2_,40,8320,432
_Z36transpose_readWrite_alignment_kernelI6float2S0_Li1ELb0ELi6ELi4ELi4EEv21cublasTransposeParamsIT0_EPKT_PS4_PKS2_,40,8320,432
_Z11scal_kernelI6float2S0_Li1ELb0ELi6ELi4ELi4ELi4EEv21cublasTransposeParamsIT0_EPKT_PS4_PKS2_,30,8192,432
_Z43transpose_readWrite_alignment_64addr_kernelI6float2S0_Li1ELb1ELi6ELi4ELi4EEv21cublasTransposeParamsIT0_EPKT_PS4_PKS2_,40,8320,432
_Z43transpose_readWrite_alignment_64addr_kernelI6float2S0_Li1ELb0ELi6ELi4ELi4EEv21cublasTransposeParamsIT0_EPKT_PS4_PKS2_,40,8320,432
_Z18scal_64addr_kernelI6float2S0_Li1ELb0ELi6ELi4ELi4ELi4EEv21cublasTransposeParamsIT0_EPKT_PS4_PKS2_,30,8192,432
_Z36transpose_readWrite_alignment_kernelI6__halffLi1ELb1ELi6ELi5ELi3EEv21cublasTransposeParamsIT0_EPKT_PS4_PKS2_,40,4160,424
_Z36transpose_readWrite_alignment_kernelI6__halffLi1ELb0ELi6ELi5ELi3EEv21cublasTransposeParamsIT0_EPKT_PS4_PKS2_,40,4160,424
_Z11scal_kernelI6__halffLi1ELb0ELi6ELi5ELi5ELi3EEv21cublasTransposeParamsIT0_EPKT_PS4_PKS2_,35,4096,424
_Z43transpose_readWrite_alignment_64addr_kernelI6__halffLi1ELb1ELi6ELi5ELi3EEv21cublasTransposeParamsIT0_EPKT_PS4_PKS2_,40,4160,424
_Z43transpose_readWrite_alignment_64addr_kernelI6__halffLi1ELb0ELi6ELi5ELi3EEv21cublasTransposeParamsIT0_EPKT_PS4_PKS2_,40,4160,424
_Z18scal_64addr_kernelI6__halffLi1ELb0ELi6ELi5ELi5ELi3EEv21cublasTransposeParamsIT0_EPKT_PS4_PKS2_,38,4096,424
_Z36transpose_readWrite_alignment_kernelIffLi1ELb1ELi6ELi5ELi3EEv21cublasTransposeParamsIT0_EPKT_PS3_PKS1_,40,8320,424
_Z36transpose_readWrite_alignment_kernelIffLi1ELb0ELi6ELi5ELi3EEv21cublasTransposeParamsIT0_EPKT_PS3_PKS1_,40,8320,424
_Z11scal_kernelIffLi1ELb0ELi6ELi5ELi5ELi3EEv21cublasTransposeParamsIT0_EPKT_PS3_PKS1_,36,8192,424
_Z43transpose_readWrite_alignment_64addr_kernelIffLi1ELb1ELi6ELi5ELi3EEv21cublasTransposeParamsIT0_EPKT_PS3_PKS1_,40,8320,424
_Z43transpose_readWrite_alignment_64addr_kernelIffLi1ELb0ELi6ELi5ELi3EEv21cublasTransposeParamsIT0_EPKT_PS3_PKS1_,40,8320,424
_Z18scal_64addr_kernelIffLi1ELb0ELi6ELi5ELi5ELi3EEv21cublasTransposeParamsIT0_EPKT_PS3_PKS1_,40,8192,424
_ZN5caffe20col2im_nd_gpu_kernelIdLi4EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,70,104,424
_ZN5caffe20col2im_nd_gpu_kernelIdLi3EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,62,80,424
_ZN5caffe20col2im_nd_gpu_kernelIdLi2EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,47,56,424
_ZN5caffe20col2im_nd_gpu_kernelIdLi1EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,32,32,424
_ZN5caffe20col2im_nd_gpu_kernelIfLi4EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,70,104,424
_ZN5caffe20col2im_nd_gpu_kernelIfLi3EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,62,80,424
_ZN5caffe20col2im_nd_gpu_kernelIfLi2EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,46,56,424
_ZN5caffe20col2im_nd_gpu_kernelIfLi1EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,30,32,424
_ZN5caffe20im2col_nd_gpu_kernelIdLi10EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,93,248,424
_ZN5caffe20im2col_nd_gpu_kernelIdLi9EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,86,224,424
_ZN5caffe20im2col_nd_gpu_kernelIdLi6EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,59,152,424
_ZN5caffe20im2col_nd_gpu_kernelIdLi5EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,52,128,424
_ZN5caffe20im2col_nd_gpu_kernelIdLi4EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,44,104,424
_ZN5caffe20im2col_nd_gpu_kernelIdLi3EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,42,80,424
_ZN5caffe20im2col_nd_gpu_kernelIdLi2EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,33,56,424
_ZN5caffe20im2col_nd_gpu_kernelIdLi1EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,24,32,424
_ZN5caffe20im2col_nd_gpu_kernelIfLi10EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,93,248,424
_ZN5caffe20im2col_nd_gpu_kernelIfLi9EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,86,224,424
_ZN5caffe20im2col_nd_gpu_kernelIfLi6EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,62,152,424
_ZN5caffe20im2col_nd_gpu_kernelIfLi5EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,54,128,424
_ZN5caffe20im2col_nd_gpu_kernelIfLi4EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,46,104,424
_ZN5caffe20im2col_nd_gpu_kernelIfLi3EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,40,80,424
_ZN5caffe20im2col_nd_gpu_kernelIfLi2EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,34,56,424
_ZN5caffe20im2col_nd_gpu_kernelIfLi1EEEviPKT_PKiS5_S5_S5_S5_S5_PS1_,24,32,424
_Z10dot_kernelI7double2Li128ELi1E15cublasDotParamsI30cublasGemvTensorStridedBatchedIKS0_ES2_IS0_EEEvT2_,36,2048,424
_Z10dot_kernelI6float2Li128ELi1E15cublasDotParamsI30cublasGemvTensorStridedBatchedIKS0_ES2_IS0_EEEvT2_,30,1024,424
_Z20reduce_1Block_kernelI7double2Li128ELi7E30cublasGemvTensorStridedBatchedIS0_ES2_S2_EvPKT_S3_T2_iS5_S3_T3_T4_19cublasPointerMode_t18cublasLtEpilogue_tS1_IKN8biasTypeINS8_10value_typeES3_E4typeEE,36,3072,488
_Z10dot_kernelI7double2Li128ELi0E15cublasDotParamsI30cublasGemvTensorStridedBatchedIKS0_ES2_IS0_EEEvT2_,36,2048,424
_Z10dot_kernelI6float2Li128ELi0E15cublasDotParamsI30cublasGemvTensorStridedBatchedIKS0_ES2_IS0_EEEvT2_,30,1024,424
_Z10dot_kernelIdLi128ELi0E15cublasDotParamsI30cublasGemvTensorStridedBatchedIKdES1_IdEEEvT2_,31,1024,424
_Z10dot_kernelIfLi128ELi0E15cublasDotParamsI30cublasGemvTensorStridedBatchedIKfES1_IfEEEvT2_,30,512,424
_Z10dot_kernelIfLi128ELi0E15cublasDotParamsI30cublasGemvTensorStridedBatchedIK13__nv_bfloat16ES1_IfEEEvT2_,30,512,424
_Z10dot_kernelIfLi128ELi0E15cublasDotParamsI30cublasGemvTensorStridedBatchedIK6__halfES1_IfEEEvT2_,30,512,424
_Z10dot_kernelIfLi128ELi0E15cublasDotParamsI30cublasGemvTensorStridedBatchedIKaES1_IfEEEvT2_,30,512,424
_Z10dot_kernelI7double2Li64ELi0E15cublasDotParamsI16cublasGemvTensorIKS0_E30cublasGemvTensorStridedBatchedIS0_EEEvT2_,22,1024,408
_Z20reduce_1Block_kernelI7double2Li64ELi6E30cublasGemvTensorStridedBatchedIS0_E16cublasGemvTensorIS0_ES4_EvPKT_S5_T2_iS7_S5_T3_T4_19cublasPointerMode_t18cublasLtEpilogue_tS1_IKN8biasTypeINSA_10value_typeES5_E4typeEE,46,1536,472
_Z20reduce_1Block_kernelI7double2Li64ELi6E30cublasGemvTensorStridedBatchedIS0_ES2_S2_EvPKT_S3_T2_iS5_S3_T3_T4_19cublasPointerMode_t18cublasLtEpilogue_tS1_IKN8biasTypeINS8_10value_typeES3_E4typeEE,46,1536,488
_Z10dot_kernelI7double2Li64ELi1E15cublasDotParamsI16cublasGemvTensorIKS0_E30cublasGemvTensorStridedBatchedIS0_EEEvT2_,22,1024,408
_Z20reduce_1Block_kernelIdLi128ELi7E30cublasGemvTensorStridedBatchedIdE16cublasGemvTensorIdES3_EvPKT_S4_T2_iS6_S4_T3_T4_19cublasPointerMode_t18cublasLtEpilogue_tS0_IKN8biasTypeINS9_10value_typeES4_E4typeEE,26,1536,448
_Z20reduce_1Block_kernelIdLi128ELi7E30cublasGemvTensorStridedBatchedIdES1_S1_EvPKT_S2_T2_iS4_S2_T3_T4_19cublasPointerMode_t18cublasLtEpilogue_tS0_IKN8biasTypeINS7_10value_typeES2_E4typeEE,26,1536,464
_Z10dot_kernelIdLi128ELi0E15cublasDotParamsI16cublasGemvTensorIKdE30cublasGemvTensorStridedBatchedIdEEEvT2_,24,1024,408
_Z10dot_kernelI6float2Li128ELi0E15cublasDotParamsI16cublasGemvTensorIKS0_E30cublasGemvTensorStridedBatchedIS0_EEEvT2_,20,1024,408
_Z20reduce_1Block_kernelI6float2Li128ELi7E30cublasGemvTensorStridedBatchedIS0_E16cublasGemvTensorIS0_ES4_EvPKT_S5_T2_iS7_S5_T3_T4_19cublasPointerMode_t18cublasLtEpilogue_tS1_IKN8biasTypeINSA_10value_typeES5_E4typeEE,36,1536,448
_Z20reduce_1Block_kernelI6float2Li128ELi7E30cublasGemvTensorStridedBatchedIS0_ES2_S2_EvPKT_S3_T2_iS5_S3_T3_T4_19cublasPointerMode_t18cublasLtEpilogue_tS1_IKN8biasTypeINS8_10value_typeES3_E4typeEE,36,1536,464
_Z10dot_kernelI6float2Li128ELi1E15cublasDotParamsI16cublasGemvTensorIKS0_E30cublasGemvTensorStridedBatchedIS0_EEEvT2_,20,1024,408
_Z20reduce_1Block_kernelIfLi128ELi7E30cublasGemvTensorStridedBatchedIfE16cublasGemvTensorIfES3_EvPKT_S4_T2_iS6_S4_T3_T4_19cublasPointerMode_t18cublasLtEpilogue_tS0_IKN8biasTypeINS9_10value_typeES4_E4typeEE,28,768,448
_Z20reduce_1Block_kernelIfLi128ELi7E30cublasGemvTensorStridedBatchedIfES1_S1_EvPKT_S2_T2_iS4_S2_T3_T4_19cublasPointerMode_t18cublasLtEpilogue_tS0_IKN8biasTypeINS7_10value_typeES2_E4typeEE,28,768,464
_Z10dot_kernelIfLi128ELi0E15cublasDotParamsI16cublasGemvTensorIKfE30cublasGemvTensorStridedBatchedIfEEEvT2_,19,512,408
_Z10dot_kernelIfLi128ELi1E15cublasDotParamsI16cublasGemvTensorIK13__nv_bfloat16E30cublasGemvTensorStridedBatchedIfEEEvT2_,19,512,408
_Z10dot_kernelIfLi128ELi1E15cublasDotParamsI16cublasGemvTensorIK6__halfE30cublasGemvTensorStridedBatchedIfEEEvT2_,20,512,408
_Z20reduce_1Block_kernelIfLi128ELi7E30cublasGemvTensorStridedBatchedIfE16cublasGemvTensorI13__nv_bfloat16ES4_EvPKT_S5_T2_iS7_S5_T3_T4_19cublasPointerMode_t18cublasLtEpilogue_tS0_IKN8biasTypeINSA_10value_typeES5_E4typeEE,28,768,448
_Z20reduce_1Block_kernelIfLi128ELi7E30cublasGemvTensorStridedBatchedIfES0_I13__nv_bfloat16ES3_EvPKT_S4_T2_iS6_S4_T3_T4_19cublasPointerMode_t18cublasLtEpilogue_tS0_IKN8biasTypeINS9_10value_typeES4_E4typeEE,28,768,464
_Z10dot_kernelIfLi128ELi0E15cublasDotParamsI16cublasGemvTensorIK13__nv_bfloat16E30cublasGemvTensorStridedBatchedIfEEEvT2_,19,512,408
_Z20reduce_1Block_kernelIfLi128ELi7E30cublasGemvTensorStridedBatchedIfE16cublasGemvTensorI6__halfES4_EvPKT_S5_T2_iS7_S5_T3_T4_19cublasPointerMode_t18cublasLtEpilogue_tS0_IKN8biasTypeINSA_10value_typeES5_E4typeEE,28,768,448
_Z20reduce_1Block_kernelIfLi128ELi7E30cublasGemvTensorStridedBatchedIfES0_I6__halfES3_EvPKT_S4_T2_iS6_S4_T3_T4_19cublasPointerMode_t18cublasLtEpilogue_tS0_IKN8biasTypeINS9_10value_typeES4_E4typeEE,28,768,464
_Z10dot_kernelIfLi128ELi0E15cublasDotParamsI16cublasGemvTensorIK6__halfE30cublasGemvTensorStridedBatchedIfEEEvT2_,20,512,408
_Z20gemmk1_kernel_64addrIfLi256ELi5ELb1ELb1ELb1ELb1E30cublasGemvTensorStridedBatchedIKfES2_S0_IfEfEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,23,272,488
_Z20gemmk1_kernel_64addrIfLi256ELi5ELb1ELb1ELb1ELb0E30cublasGemvTensorStridedBatchedIKfES2_S0_IfEfEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,23,272,488
_Z20gemmk1_kernel_64addrIfLi256ELi5ELb1ELb1ELb0ELb0E30cublasGemvTensorStridedBatchedIKfES2_S0_IfEfEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,23,272,488
_Z20gemmk1_kernel_64addrIfLi256ELi5ELb1ELb0ELb1ELb1E30cublasGemvTensorStridedBatchedIKfES2_S0_IfEfEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,23,272,488
_Z20gemmk1_kernel_64addrIfLi256ELi5ELb1ELb0ELb1ELb0E30cublasGemvTensorStridedBatchedIKfES2_S0_IfEfEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,23,272,488
_Z20gemmk1_kernel_64addrIfLi256ELi5ELb1ELb0ELb0ELb0E30cublasGemvTensorStridedBatchedIKfES2_S0_IfEfEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,23,272,488
_Z20gemmk1_kernel_64addrIfLi256ELi5ELb0ELb0ELb1ELb1E30cublasGemvTensorStridedBatchedIKfES2_S0_IfEfEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,23,272,488
_Z20gemmk1_kernel_64addrIfLi256ELi5ELb0ELb0ELb1ELb0E30cublasGemvTensorStridedBatchedIKfES2_S0_IfEfEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,23,272,488
_Z20gemmk1_kernel_64addrIfLi256ELi5ELb0ELb0ELb0ELb0E30cublasGemvTensorStridedBatchedIKfES2_S0_IfEfEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,23,272,488
_Z13gemmk1_kernelIfLi256ELi5ELb1ELb1ELb1ELb1E30cublasGemvTensorStridedBatchedIKfES2_S0_IfEfEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,21,272,488
_Z13gemmk1_kernelIfLi256ELi5ELb1ELb1ELb1ELb0E30cublasGemvTensorStridedBatchedIKfES2_S0_IfEfEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,21,272,488
_Z13gemmk1_kernelIfLi256ELi5ELb1ELb1ELb0ELb0E30cublasGemvTensorStridedBatchedIKfES2_S0_IfEfEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,21,272,488
_Z13gemmk1_kernelIfLi256ELi5ELb1ELb0ELb1ELb1E30cublasGemvTensorStridedBatchedIKfES2_S0_IfEfEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,21,272,488
_Z13gemmk1_kernelIfLi256ELi5ELb1ELb0ELb1ELb0E30cublasGemvTensorStridedBatchedIKfES2_S0_IfEfEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,21,272,488
_Z13gemmk1_kernelIfLi256ELi5ELb1ELb0ELb0ELb0E30cublasGemvTensorStridedBatchedIKfES2_S0_IfEfEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,21,272,488
_Z13gemmk1_kernelIfLi256ELi5ELb0ELb0ELb1ELb1E30cublasGemvTensorStridedBatchedIKfES2_S0_IfEfEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,21,272,488
_Z13gemmk1_kernelIfLi256ELi5ELb0ELb0ELb1ELb0E30cublasGemvTensorStridedBatchedIKfES2_S0_IfEfEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,21,272,488
_Z13gemmk1_kernelIfLi256ELi5ELb0ELb0ELb0ELb0E30cublasGemvTensorStridedBatchedIKfES2_S0_IfEfEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,21,272,488
_Z19gemm_kernel2x1_coreIfLb0ELb0ELb0ELb1ELb1EEvPT_PKS0_S3_iiiiiiS1_S1_S0_S0_i,40,4288,428
_Z19gemm_kernel2x1_coreIfLb0ELb0ELb0ELb1ELb0EEvPT_PKS0_S3_iiiiiiS1_S1_S0_S0_i,40,4288,428
_Z19gemm_kernel2x1_coreIfLb0ELb0ELb0ELb0ELb1EEvPT_PKS0_S3_iiiiiiS1_S1_S0_S0_i,40,4288,428
_Z19gemm_kernel2x1_coreIfLb0ELb0ELb0ELb0ELb0EEvPT_PKS0_S3_iiiiiiS1_S1_S0_S0_i,40,4288,428
_Z19gemm_kernel2x1_coreIfLb1ELb0ELb0ELb1ELb1EEvPT_PKS0_S3_iiiiiiS1_S1_S0_S0_i,40,4288,428
_Z19gemm_kernel2x1_coreIfLb1ELb0ELb0ELb1ELb0EEvPT_PKS0_S3_iiiiiiS1_S1_S0_S0_i,40,4288,428
_Z19gemm_kernel2x1_coreIfLb1ELb0ELb0ELb0ELb1EEvPT_PKS0_S3_iiiiiiS1_S1_S0_S0_i,38,4288,428
_Z19gemm_kernel2x1_coreIfLb1ELb0ELb0ELb0ELb0EEvPT_PKS0_S3_iiiiiiS1_S1_S0_S0_i,38,4288,428
_Z19gemm_kernel1x1_coreIfLb0ELb0ELb0ELb1ELb1EEvPT_PKS0_S3_iiiiiiS1_S1_S0_S0_i,40,2176,428
_Z19gemm_kernel1x1_coreIfLb0ELb0ELb0ELb1ELb0EEvPT_PKS0_S3_iiiiiiS1_S1_S0_S0_i,38,2176,428
_Z19gemm_kernel1x1_coreIfLb0ELb0ELb0ELb0ELb1EEvPT_PKS0_S3_iiiiiiS1_S1_S0_S0_i,38,2176,428
_Z19gemm_kernel1x1_coreIfLb0ELb0ELb0ELb0ELb0EEvPT_PKS0_S3_iiiiiiS1_S1_S0_S0_i,37,2176,428
_Z19gemm_kernel1x1_coreIfLb1ELb0ELb0ELb1ELb1EEvPT_PKS0_S3_iiiiiiS1_S1_S0_S0_i,38,2176,428
_Z19gemm_kernel1x1_coreIfLb1ELb0ELb0ELb1ELb0EEvPT_PKS0_S3_iiiiiiS1_S1_S0_S0_i,37,2176,428
_Z19gemm_kernel1x1_coreIfLb1ELb0ELb0ELb0ELb1EEvPT_PKS0_S3_iiiiiiS1_S1_S0_S0_i,36,2176,428
_Z19gemm_kernel1x1_coreIfLb1ELb0ELb0ELb0ELb0EEvPT_PKS0_S3_iiiiiiS1_S1_S0_S0_i,36,2176,428
_Z20gemmk1_kernel_64addrIdLi256ELi5ELb1ELb1ELb1ELb1E30cublasGemvTensorStridedBatchedIKdES2_S0_IdEdEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,30,544,496
_Z20gemmk1_kernel_64addrIdLi256ELi5ELb1ELb1ELb1ELb0E30cublasGemvTensorStridedBatchedIKdES2_S0_IdEdEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,30,544,496
_Z20gemmk1_kernel_64addrIdLi256ELi5ELb1ELb1ELb0ELb0E30cublasGemvTensorStridedBatchedIKdES2_S0_IdEdEv18cublasGemmk1ParamsIT_T6_T7_T8_T9_N8biasTypeINS8_10value_typeES9_E4typeEE,30,544,496
